location,name,score
"San Francisco, CA, United States",Collin Jackson,11.4k
"New York, United States",Gordon Linoff,"9,535"
United Kingdom,CB Bailey,"8,652"
"Saint Petersburg, Russia",hotkey,"8,205"
"NYC, NY, United States",Aaron Hall,"7,371"
"Fully, Switzerland",Val,"7,126"
California,Salvador Dali,"7,111"
"Bratislava, Slovakia",jezrael,"7,067"
"New York, NY",Yarin,"6,999"
,lukasgeiter,"6,956"
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Ronak Shah,"6,670"
"Waterbury, Vermont, United States",Howard Hinnant,"6,476"
Pale blue dot,Asperi,"6,434"
Silicon Valley,Doug Stevenson,"6,269"
United States,BEN_YO,"6,261"
,Smokie,"5,963"
Australia,Neil Lunn,"5,956"
"Rennes, France",Thomasleveil,"5,908"
Texas,jabacchetta,"5,891"
"London, UK",Dan Abramov,"5,822"
,Rockallite,"5,693"
France,VonC,"5,630"
,Marcin,"5,573"
"San Francisco, CA",Frank van Puffelen,"5,546"
,cigien,"5,432"
"Fort Lauderdale, FL, United States",creack,"5,322"
"Paris, France",romainl,"5,292"
Canada,DSM,"5,249"
"New York, United States",alecxe,"5,191"
"Toronto, Canada",David Sherret,"5,185"
United Kingdom,T.J. Crowder,"5,175"
France,Alexandre Ardhuin,"5,125"
"London, United Kingdom",LazyOne,"5,059"
,GMB,"5,036"
"Moscow, Russia",jfs,"4,991"
"Dehradun, Uttarakhand, India",Dogbert,"4,963"
"Ulm, Germany",Tim Pietzcker,"4,935"
"Arlington, MA",Barmar,"4,922"
"Ottawa, ON, Canada",lhunath,"4,889"
,zero323,"4,818"
"Cambridge, UK",Martijn Pieters,"4,689"
"Reading, United Kingdom",Jon Skeet,"4,686"
"Cardiff, United Kingdom",LukeH,"4,654"
"Boston, MA, USA",Joni,"4,577"
"Linz, Austria",Günter Zöchbauer,"4,410"
"Munich, Bavaria",a_horse_with_no_name,"4,381"
,Bergi,"4,379"
"Warsaw, Poland",rsp,"4,324"
"Minsk, Belarus",Eugene Yarmash,"4,312"
,hev1,"4,285"
"Nantes, France",Anthony Brenelière,"4,276"
,unutbu,"4,233"
"San Bruno, CA, United States",Devin Jeanpierre,"4,215"
,paxdiablo,"4,201"
"Helsinki, Finland",Niko Ruotsalainen,"4,168"
,today,"4,155"
,ghostdog74,"4,146"
UK,Allan Cameron,"4,145"
,Suragch,"4,132"
"Sunnyvale, CA, United States",ianhanniballake,"4,110"
"Paderborn, North-Rhine-Westphalia, Germany",Alex Ott,"4,083"
United States,Remy Lebeau,"4,074"
Netherlands,Andomar,"4,051"
,yamenk,"4,035"
"San Diego, CA, USA",CrazyCoder,"4,034"
,jfriend00,"3,992"
United States,ephemient,"3,981"
"Berlin, Deutschland",Janusz,"3,973"
Netherlands,sehe,"3,908"
"Budapest, Hungary",icza,"3,907"
United Kingdom,Quentin,"3,889"
"Christchurch, New Zealand",Greg Hewgill,"3,884"
"Sterling, VA, United States",Aaron Beall,"3,878"
Egypt,aziza,"3,854"
Singapore,Tim Biegeleisen,"3,848"
,Zero,"3,829"
"Houston, TX",Joe Kington,"3,822"
United States,Paused until further notice.,"3,813"
"Ypres, Belgium",Willem Van Onsem,"3,813"
Germany,miku,"3,802"
India,Jitendra Vyas,"3,788"
Singapore,Jarek Tkaczyk,"3,773"
"Houston, TX, USA",Ted Petrou,"3,761"
Sweden,ANisus,"3,748"
"Paris, France",Rémi Rousselet,"3,740"
,TIMEX,"3,732"
"London, United Kingdom",dogbane,"3,706"
Virginia,stephen mallette,"3,686"
"Cologne, Deutschland",s1m0nw1,"3,684"
"Berkeley, CA",torek,"3,678"
earth,eyllanesc,"3,678"
At an ipython shell near you,cs95,"3,671"
,techraf,"3,671"
"Warsaw, Poland",Wiktor Stribiżew,"3,660"
Armenia,Suren Srapyan,"3,659"
,jakevdp,"3,658"
"Colombo, Western Province, Sri Lanka",KavinduWije,"3,650"
,Tsyvarev,"3,643"
"Thiruvananthapuram, India",Anand S Kumar,"3,624"
"Paris, France",LoicTheAztec,"3,621"
"Pune, Maharashtra, India",Hrishikesh Kadam,"3,616"
"Preetz, Germany",Sven Marnach,"3,600"
,Felix Kling,"3,597"
"London, UK",tmdavison,"3,576"
"Forest of Dean, United Kingdom",Marc Gravell,"3,571"
Sydney,huon,"3,571"
Ireland,Nadia Alramli,"3,562"
Texas,skiphoppy,"3,550"
"Zürich, Switzerland",Colonel Panic,"3,546"
,matt,"3,533"
NY / CT,Michael Benjamin,"3,518"
"Redmond, WA",Matt Johnson-Pint,"3,501"
Locating...,CopsOnRoad,"3,493"
,bigbug,"3,486"
"Bel Air, MD, United States",dustbuster,"3,466"
"San Francisco, CA",mipadi,"3,464"
"Willemstad, Curaçao",BalusC,"3,462"
"Sunnyvale, CA",Alex Martelli,"3,460"
"Louisiana, USA",OneOfOne,"3,452"
Boston,Amelio Vazquez-Reina,"3,449"
"Bangalore, India",anubhava,"3,447"
"Berlin, Germany",R. Martinho Fernandes,"3,447"
,yurzui,"3,435"
,Josh O'Brien,"3,430"
,forpas,"3,415"
"Melbourne, Australia",AlwaysHelping,"3,406"
Guatemala,CMS,"3,390"
"Toronto, ON, Canada",anmol.majhail,"3,389"
"London, United Kingdom",Andrie,"3,380"
"Pennsylvania, United States",CommonsWare,"3,377"
"Victoria, BC, Canada",rmtmckenzie,"3,367"
"Toruń, Kuiavia-Pomerania Poland",Jakub Narębski,"3,364"
"Bochum, Deutschland",boformer,"3,351"
"Wrocław, Poland",Karol Majewski,"3,349"
United States,apsillers,"3,305"
Denmark,Mark Byers,"3,280"
"Düsseldorf, Deutschland",Nina Scholz,"3,269"
India,mu 無,"3,259"
"Atlanta, GA",roberttdev,"3,238"
"Sydney, New South Wales, Australia",akazemis,"3,230"
,ars,"3,226"
"Montreal, Canada",Cameron,"3,225"
Slovakia,Andrej Kesely,"3,225"
"London, United Kingdom",Jarret Hardie,"3,206"
"Torun, Poland",Szymon Stepniak,"3,200"
"Atlanta, GA",Bruno Bronosky,"3,186"
"Edinburgh, Reino Unido",Duck,"3,183"
Germany,Ingo Karkat,"3,155"
"Bucharest, Romania",Radu Diță,"3,155"
,Tim Peters,"3,148"
,dc37,"3,145"
United Kingdom,Alex Riley,"3,143"
"Pittsburgh, PA",Shepmaster,"3,126"
Italy,Gabriele Mariotti,"3,121"
"New York, NY",markdorison,"3,120"
"Halifax, Canada",Peter Cordes,"3,098"
"Albury, Australia",Matt Hamilton,"3,096"
New Jersey,SLaks,"3,095"
"Poznań, Poland 👫💖🚀🌔👽",Kamil Kiełczewski,"3,090"
"Fort Collins, CO",Jake Wilson,"3,070"
,EdChum,"3,060"
"Vienna, Austria",Erwin Brandstetter,"3,052"
,Alexander Pivovarov,"3,051"
"Stockholm, Sweden",Larry Cai,"3,049"
"Oxford, United Kingdom",Duncan,"3,045"
"Paris, France",Eric O Lebigot,"3,026"
"Paris, France",Luis Sieira,"3,020"
"New York, NY",Tom Lehman,"3,016"
"Bengaluru, Karnataka, India",Saurabh,"3,006"
"Pittsburgh, PA",JoshAdel,"3,004"
"Seattle, WA, United States",Wogan,"2,998"
"St. Petersburg, Russia",Konstantin Suvorov,"2,988"
,theozh,"2,983"
"Texas, United States",Brynden Bielefeld,"2,978"
,jib,"2,974"
"Brooklyn, New York, United States",levik,"2,964"
The Netherlands,Rob W,"2,963"
,Andrey Turkovsky,"2,941"
"Toronto, Canada",Habib,"2,936"
1999法轮功，2018包子露宪,Ciro Santilli 郝海东冠状病六四事件法轮功,"2,924"
,Arun,"2,921"
,mkl,"2,913"
Japan (from Israel),Kobi,"2,894"
"Portland, OR",SethMMorton,"2,887"
"Bangalore, Karnataka, India",Shubham Khatri,"2,885"
California,eipi10,"2,885"
Germany,Aristotle Pagaltzis,"2,880"
,Ignacio Vazquez-Abrams,"2,879"
Planet Earth,devnull,"2,876"
Illinois,Retsam,"2,876"
"Pune, Maharashtra, India",DebanjanB,"2,873"
"Berlin, Germany",Andreas Köberle,"2,873"
Massachusetts,chepner,"2,862"
"Melbourne, Australia",Chris Morgan,"2,861"
,Flimm,"2,859"
"Sydney, Australia",John Rotenstein,"2,848"
"London, UK",vovahost,"2,848"
,hallski,"2,840"
"Yarmouth, ME, USA",Reed Copsey,"2,831"
"Sofia, Bulgaria",Darin Dimitrov,"2,830"
,chrisb,"2,830"
,Borealid,"2,828"
,kontiki,"2,823"
"Silicon Valley, CA",mrry,"2,817"
"Québec, QC, Canada",ConnorsFan,"2,806"
"Tokyo, Japan",peterevans,"2,804"
USA,Mark Rushakoff,"2,784"
"San Francisco Bay Area, CA, United States",artem,"2,783"
Switzerland,gbn,"2,782"
,Thomas Dondorf,"2,781"
"London, United Kingdom",assylias,"2,779"
Austria,sakra,"2,758"
United Kingdom,Ffisegydd,"2,757"
"Hyderabad, Telangana, India",JPReddy,"2,750"
"Brno, Jihomoravsky Kraj, Czech Republic",Tomas Sedovic,"2,750"
,user2668128,"2,750"
,Mobina,"2,748"
Tunisia,Temani Afif,"2,745"
,B T,"2,745"
"Ukraine, Kiev",Set,"2,738"
"New York, NY",leora,"2,731"
,baisong,"2,728"
"Troon, United Kingdom",dirvine,"2,720"
,User,"2,710"
India - Chennai,Raja Jaganathan,"2,710"
Australia,Stephen C,"2,709"
"Greifswald, Deutschland",Christoph,"2,709"
"Toronto, ON, Canada",Ahmad Awais,"2,708"
"Hawaii, United States",nathancy,"2,705"
"Palo Alto, CA",polygenelubricants,"2,702"
Switzerland,van,"2,693"
Singapore,BoltClock,"2,692"
"Cupertino, CA",Vladimir Matveev,"2,683"
"London, United Kingdom",Alex K.,"2,668"
"Houston, Texas, United States",csharptest.net,"2,658"
"Hannover, Germany",serv-inc,"2,656"
"Berlin, Germany",Jing Li,"2,655"
"Cary, NC",FogleBird,"2,651"
Netherlands,Dutch Glory,"2,650"
Israel,gdoron is supporting Monica,"2,646"
Germany,Sheldore,"2,646"
San Francisco Bay Area,Andy Hayden,"2,636"
"Richmond, VA",Donut,"2,633"
"San Francisco Bay Area, CA, USA",Dan Herbert,"2,632"
Israel,Danield,"2,631"
California,Rachel,"2,630"
"Lagos, Nigeria",Jalasem,"2,630"
"Jaipur, Rajasthan, India",Manish Menaria,"2,630"
"Seattle, WA",LBushkin,"2,628"
Albuquerque,asmeurer,"2,625"
"Choctaw, OK",Bryan Oakley,"2,619"
,Nicol Bolas,"2,618"
,Li-yao Xia,"2,618"
"Turku, Finland",eerorika,"2,617"
"Cambridge, United Kingdom",Bojangles,"2,616"
,Dagg Nabbit,"2,616"
"Karlsruhe, Germany",Niklas B.,"2,605"
"Oxford, United Kingdom",tomRedox,"2,598"
,Fred Foo,"2,592"
"Houston, Texas, USA",Chris Pratt,"2,590"
Qatar,Richie Cotton,"2,589"
,simhumileco,"2,579"
,mouad,"2,578"
,lexual,"2,570"
"Istanbul, Turkey",ozgur,"2,569"
Antarctica,player0,"2,556"
"Warren, PA",Waylan,"2,556"
"Göteborg, Sweden",ThomasIsCoding,"2,554"
UK,Chris Williams,"2,550"
QuantumLocation,ImportanceOfBeingErnest,"2,543"
"Cape Town, South Africa",Stephen Paul,"2,537"
Andorra,Danziger,"2,534"
Costa Rica,Edwin Dalorzo,"2,531"
Virginia,Bert F,"2,530"
India,bigbounty,"2,523"
"Pennsylvania, US",Gyrocode.com,"2,521"
"Renton, WA, United States",Jon Erickson,"2,520"
"District of Columbia, United States",Daiwei,"2,520"
"Yorkshire, UK",Robin Moffatt,"2,520"
,MostafaMashayekhi,"2,520"
"Montreal, Canada",Rod,"2,518"
,sam,"2,518"
South Africa,pypmannetjies,"2,518"
Silicon Valley,rickster,"2,516"
Japan,Tanaike,"2,510"
"Florianópolis Area, Brazil",BrunoLM,"2,509"
Belgium,trincot,"2,508"
,Garrett,"2,508"
"Pittsburgh, PA",Brocco,"2,506"
Inside your git repo..,CodeWizard,"2,498"
California,Old Pro,"2,498"
"Moscow, Russia",Alexey Romanov,"2,497"
"Tomaszów, Poland",Marcin Gil,"2,495"
,Barry,"2,488"
"Wisconsin, United States",Andy,"2,478"
"Hilversum, Nederland",Theo,"2,471"
"London, United Kingdom",Greg Beech,"2,470"
Maine,Ken Cochrane,"2,470"
"Vyroneia, Griekenland",Marios,"2,466"
"Gloucestershire, United Kingdom",Richard Smith,"2,461"
"Paris, France",Sebastien Lorber,"2,459"
Belgium,damienfrancois,"2,458"
Netherlands,WouterD,"2,458"
Austria,knittl,"2,449"
Netherlands,Henk Mollema,"2,447"
San Francisco Bay Area,ZelluX,"2,446"
"Portland, OR",Andrew,"2,438"
,zzzeek,"2,435"
"Omaha, NE",Joe White,"2,428"
"Stockholm, Sweden",Linus Unnebäck,"2,426"
"Hamburg, Germany",Farhad Farahi,"2,425"
"Warsaw, Poland",Tomasz Nurkiewicz,"2,422"
"Austin, TX",prosseek,"2,422"
"Albany, CA",Bjorn,"2,421"
"Bern, Switzerland",marc_s,"2,420"
"Denver, CO",quickshiftin,"2,420"
Hungary,ForestG,"2,417"
"Slough, UK",moinudin,"2,416"
"Houston, TX, United States",Timothy Shields,"2,416"
"Troon, Scotland",Fraser,"2,412"
USA,Zim,"2,408"
Karlsruhe,Nicolai,"2,402"
"Oxford, United Kingdom",Steve Jessop,"2,401"
"Hillsborough, CA, United States",LJHarb,"2,400"
Planet Earth,Paolo Moretti,"2,399"
"Portland, OR",sfletche,"2,398"
,Ken Thomases,"2,396"
Germany,ThiefMaster,"2,389"
,konsolebox,"2,388"
,john,"2,387"
"Cedar Rapids, Iowa, United States",dahlbyk,"2,386"
,ninjagecko,"2,383"
Somewhere,Rahul Iyer,"2,380"
Brazil,Edson Cezar,"2,378"
One phone call away,SwiftArchitect,"2,376"
"San Francisco, CA",Michelle Tilley,"2,374"
"Colorado, USA",Jonathan Leffler,"2,372"
Russia,Mikhail Gerasimov,"2,372"
"Tokyo, Japan",polm23,"2,370"
,Bin Chen,"2,368"
Germany,Roland,"2,356"
,knbk,"2,348"
"Toronto, Canada",mdurant,"2,348"
"Budapest, Hungary",Tamás Sengel,"2,339"
Florida,Daniel G,"2,338"
,Dan Dascalescu,"2,337"
"Brisbane QLD, Australia",Russ Cam,"2,334"
Australia,Simon East,"2,330"
"Ancona, Italy",MatPag,"2,326"
,Kelvin Lawrence,"2,325"
,Axel Richter,"2,324"
"Ahmedabad, Gujarat, India",Paresh Mayani,"2,322"
Oklahoma City,Brandon Clapp,"2,308"
"Chennai, India",Dinesh Balasubramanian,"2,304"
"Amsterdam, Netherlands",teunbrand,"2,303"
"Houston, TX, USA",Scott Boston,"2,300"
"Oxford, UK",Dan,"2,298"
,Serenity,"2,298"
"Chennai, India",franklinsijo,"2,296"
"Milwaukee, WI",Cᴏʀʏ,"2,295"
Israel,Motti,"2,290"
,Sergey,"2,290"
"Madrid, Spain",chemamolins,"2,287"
Germany,Kirill Rakhman,"2,282"
,sdgfsdh,"2,281"
,Tim Cooper,"2,276"
,Leo Liu-MSFT,"2,276"
"New York, NY, USA",Mike67,"2,273"
"Toronto, Canada",radtek,"2,272"
France,Antoine Pinsard,"2,272"
,Manoj Govindan,"2,270"
,mzjn,"2,268"
Netherlands,Hans Z.,"2,268"
French Riviera,Didier Spezia,"2,261"
United States,Michael0x2a,"2,261"
"McKinney, TX",Chris Johnsen,"2,260"
Russia,lavrton,"2,255"
"Fribourg, Switzerland",Michael Jungo,"2,254"
"Berlin, Germany",aknuds1,"2,250"
France,Brian Clozel,"2,245"
"Berlin, Germany",Benny Neugebauer,"2,244"
,chemdork123,"2,239"
,marketer,"2,230"
"Norwich, United Kingdom",craig_h,"2,226"
"Longueuil, QC, Canada",Francis Gagné,"2,225"
United States,Andy Guibert,"2,225"
"Beijing, China",songyuanyao,"2,223"
"San Francisco, CA",Steve Tjoa,"2,220"
"Pune, Maharashtra, India",Ajay Kumar,"2,217"
"Redmond, WA",JaredPar,"2,214"
California,Amber,"2,214"
,chickens,"2,213"
United Kingdom,Lea Hayes,"2,210"
United States,mklement0,"2,209"
Taiwan,waitingkuo,"2,208"
,Basil Bourque,"2,207"
,ajsie,"2,206"
"Tampa, FL",Greg Gum,"2,202"
,Tensorflow Warriors,"2,200"
"Dortmund, Germany",poke,"2,199"
"Calw, Germany",stema,"2,198"
"Melbourne, Australia",Bohemian,"2,196"
"Warszawa, Polska",Tomasz Mularczyk,"2,194"
"Queensland, Australia",Russell Dias,"2,192"
中国北京市,Pengyy,"2,190"
"Prague, Czech Republic",svick,"2,188"
"Lisbon, Lisbon Portugal",rogeriopvl,"2,188"
,JohanC,"2,188"
"Panama City, FL",techtabu,"2,188"
"San Francisco, CA",Kevin Burke,"2,182"
"Palo Alto, CA",Kenton Varda,"2,181"
"Uzbekistan, Tashkent Province",Abror Esonaliyev,"2,180"
"Madrid, España",José Carlos Campanero,"2,180"
"Connecticut, USA",askewchan,"2,170"
"Pune, Maharashtra, India",Rohit Shedage,"2,168"
"Williamsburg, MI",Stephen Cleary,"2,167"
Germany,eckes,"2,164"
,John Machin,"2,162"
"Seattle, WA, USA",Oleksiy,"2,160"
"Pune, Maharashtra, India",Tushar,"2,158"
,e-satis,"2,156"
"Portland, OR, United States",Owen,"2,154"
"Sao Paulo, Brazil",ariel,"2,151"
"Virsbo, Sweden",Guffa,"2,148"
"Minneapolis, MN",jessegavin,"2,148"
,Itamar Haber,"2,147"
"Bristol, United Kingdom",Dean Taylor,"2,146"
,apangin,"2,142"
,Robert,"2,140"
"Berlin, Germany",Lutz Prechelt,"2,136"
Amsterdam,Ani,"2,134"
,Opster Elasticsearch Ninja,"2,134"
Haarlem,gitaarik,"2,126"
"Dresden, Germany",Ralph,"2,125"
,chi,"2,120"
"Novi Sad, Serbia",Viktor Kerkez,"2,118"
"New York, United States",Mark Elliot,"2,116"
United Kingdom,JodaStephen,"2,116"
,a_guest,"2,114"
,Jeff,"2,112"
"Racine, WI, United States",Francisco Mateo,"2,111"
Singapore,Pacerier,"2,110"
"Zwolle, Netherlands",Aron Rotteveel,"2,108"
"St. Louis, MO, United States",CT Zhu,"2,108"
"California, USA",dimo414,"2,108"
,484,"2,108"
"Serbia, Belgrade",Stefan Svrkota,"2,103"
Germany,deceze,"2,100"
"Fort Lee, NJ",dbyrne,"2,100"
"Berlin, Deutschland",Cronay,"2,090"
,Thomas Walpole,"2,088"
,Lauritz V. Thaulow,"2,084"
"Bethlehem, PA",Ned Deily,"2,080"
,Ben,"2,080"
"New York, NY",Mark Lodato,"2,076"
"Boston, Massachusetts, USA",Vasily  Bodnarchuk,"2,076"
"Moscow, Russia",axtavt,"2,072"
"Madison, WI",Hans Passant,"2,071"
United Kingdom,Daniel Earwicker,"2,070"
"Provo, UT, United States",coolaj86,"2,068"
Serbia,Nenad Vracar,"2,064"
"Dallas, TX",Leon Gaban,"2,064"
"Malmo, Sweden",Ogglas,"2,062"
